city,lat,lon,month,n,mean_bias_c,damped_bias_c,reliable
Hong Kong,22.28,114.17,0,28,0.171,0.171,1
Hong Kong,22.28,114.17,5,24,0.283,0.283,1
Hong Kong,22.28,114.17,6,4,-0.5,-0.1,0
Shenzhen,22.55,114.07,0,1,-1.6,-0.08,0
Shenzhen,22.55,114.07,5,1,-1.6,-0.08,0
Miami,25.77,-80.19,0,28,-0.367,-0.367,1
Miami,25.77,-80.19,5,22,-0.393,-0.393,1
Miami,25.77,-80.19,6,6,-0.274,-0.082,0
Shanghai,31.22,121.46,0,6,1.05,0.315,0
Shanghai,31.22,121.46,5,6,1.05,0.315,0
Tel Aviv,32.08,34.78,0,25,-1.768,-1.768,1
Tel Aviv,32.08,34.78,5,20,-1.495,-1.495,1
Tel Aviv,32.08,34.78,6,5,-2.86,-0.715,0
Dallas,32.78,-96.81,0,19,0.673,0.639,1
Dallas,32.78,-96.81,5,13,0.399,0.259,1
Dallas,32.78,-96.81,6,6,1.265,0.379,0
Atlanta,33.75,-84.39,0,27,0.463,0.463,1
Atlanta,33.75,-84.39,5,20,1.004,1.004,1
Atlanta,33.75,-84.39,6,7,-1.084,-0.379,0
Tokyo,35.69,139.69,0,19,0.879,0.835,1
Tokyo,35.69,139.69,5,17,0.859,0.73,1
Tokyo,35.69,139.69,6,2,1.05,0.105,0
Seoul,37.57,126.98,0,28,1.354,1.354,1
Seoul,37.57,126.98,5,22,0.745,0.745,1
Seoul,37.57,126.98,6,6,3.583,1.075,0
Beijing,39.91,116.4,0,2,-2.7,-0.27,0
Beijing,39.91,116.4,5,2,-2.7,-0.27,0
Madrid,40.42,-3.7,0,15,-0.72,-0.54,1
Madrid,40.42,-3.7,5,13,-0.777,-0.505,1
Madrid,40.42,-3.7,6,2,-0.35,-0.035,0
NYC,40.71,-74.01,0,53,0.604,0.604,1
NYC,40.71,-74.01,5,46,0.608,0.608,1
NYC,40.71,-74.01,6,7,0.576,0.202,0
Toronto,43.71,-79.4,0,11,-0.427,-0.235,1
Toronto,43.71,-79.4,5,8,-0.275,-0.11,1
Toronto,43.71,-79.4,6,3,-0.833,-0.125,0
Paris,48.85,2.35,0,16,0.713,0.57,1
Paris,48.85,2.35,5,15,0.793,0.595,1
Paris,48.85,2.35,6,1,-0.5,-0.025,0
London,51.51,-0.13,0,29,1.017,1.017,1
London,51.51,-0.13,5,25,1.14,1.14,1
London,51.51,-0.13,6,4,0.25,0.05,0
